SERIES_NAME,TotalLiabilities,TotalAssets
,16302369603.817621,420643397881.23004
1290 Essex Small Cap Growth Fund,1289559.63,27793668.05
1290 High Yield Bond Fund,2781154.75,59871810.13
1290 Multi-Alternative Strategies Fund,899954.76,13746769.99
1290 Retirement 2020 Fund,431682.41,8615622.81
1290 Retirement 2025 Fund,88777.58,17845051.19
1290 Retirement 2030 Fund,33892.48,9611857.22
1290 Retirement 2040 Fund,553749.86,6906057.24
1290 Retirement 2045 Fund,58589.7,7879705.13
1290 Retirement 2050 Fund,211924.37,7643553.86
1290 Retirement 2060 Fund,30192.97,5474113.53
1290 SmartBeta Equity Fund,1138538.89,170901485.52
1290 VT Convertible Securities Portfolio,2327872.85,40573114.65
1290 VT DoubleLine Opportunistic Bond Portfolio,4738986.44,522554014.3
1290 VT Equity Income Portfolio,487948.37,523238139.83
1290 VT GAMCO Mergers & Acquisitions Portfolio,7048454.51,178874614.74
1290 VT GAMCO Small Company Value Portfolio,32812833.71,3174701096.23
1290 VT Micro Cap Portfolio,14776471.7,166840045.73
1290 VT Moderate Growth Allocation Portfolio,33881183.35,152776857.59
1290 VT Multi-Alternative Strategies Portfolio,225715.79,7451719.88
1290 VT Natural Resources Portfolio,89208.69,41919257.49
1290 VT Real Estate Portfolio,922388.73,34678623.48
1290 VT Socially Responsible Portfolio,352395.44,204394774.65
13D Activist Fund,270970.42,186766985.72
1789 GROWTH AND INCOME FUND,93872.43,32493795.7
180 DEGREE CAPITAL CORP. /NY/,1407459.0,66952608.0
1919 Financial Services Fund,376169.66,171408509.06
1919 Maryland Tax-Free Income Fund,285335.81,66782391.86
1919 Socially Responsive Balanced Fund,1442659.6,680660235.02
1919 Variable Socially Responsive Balanced Fund,106982.19,33179623.04
2ndVote Life Neutral Plus ETF,370140.74,17036841.69
2ndVote Society Defended ETF,346861.33,25720600.83
5-to-15 Year Laddered Municipal Bond Portfolio,20045102.22,650377825.59
500 Index Fund,13038342.46,8914538219.23
500 Index Trust,7556344.95,6746597076.18
A&Q Long/Short Strategies Fund LLC,8634439.35,111423255.6
A&Q Multi-Strategy Fund,42537931.69,439739894.67
AAAMCO Ultrashort Financing Fund,1099971.17,64657314.66
AAM HIMCO Short Duration Income Fund,1182407.48,534480423.8
AAM Insight Select Income Fund,200668.07,105775035.56
AAM/Phocas Real Estate Fund,68321.83,28737686.76
AAMA EQUITY FUND,461075.21,382636050.99
AAMA INCOME FUND,147061.23,146069641.02
AB All China Equity Portfolio,579957.83,123195878.64
AB All Market Income Portfolio,2563583.56,50645455.07
AB All Market Real Return Portfolio,16755129.94,1090459463.78
AB All Market Total Return Portfolio,17487135.86,512821389.07
AB Arizona Portfolio,549717.32,99572408.04
AB Balanced Hedged Allocation Portfolio,2354654.39,179758040.11
AB Bond Inflation Strategy,66866357.68,1042213412.16
"AB CORE OPPORTUNITIES FUND, INC.",1622542.03,176882807.19
AB California Portfolio,29743988.54,960953772.79
"AB DISCOVERY GROWTH FUND, INC.",24000890.18,2821021465.74
AB Discovery Value Fund,63294784.03,2920149571.1
AB EQUITY INCOME FUND INC,3502661.09,496270157.52
AB Emerging Markets Multi-Asset Portfolio,6492737.92,127807206.7
"AB GLOBAL REAL ESTATE INVESTMENT FUND, INC.",1318690.87,74255519.68
AB Global Core Equity Portfolio,53846513.75,2294430165.23
AB Global Dynamic Allocation Portfolio,195965757.85,2968673766.1
AB Global Real Estate Investment Fund II,437248.23,195970563.77
AB Global Risk Allocation-Moderate Portfolio,6352504.52,805883450.62
AB Growth Fund,1852505.25,1111615129.95
AB Growth and Income Portfolio,2859007.54,838269440.52
AB HIGH INCOME FUND INC,238512858.2,3381334773.23
AB High Income Municipal Portfolio,464749901.39,3398082971.01
AB High Yield Portfolio,1789523.64,71595683.71
AB Impact Municipal Income Shares,1628138.47,537886484.72
AB Income Fund,1184205305.2,3868376797.11
AB International Strategic Core Portfolio,9747354.29,637461510.04
AB International Value Fund,3319549.99,110553225.32
AB International Value Portfolio,1991051.76,265675618.8
AB LARGE CAP GROWTH FUND INC,42288825.17,17427478268.12
AB Large Cap Growth Portfolio,1300815.21,592353165.9
AB Limited Duration High Income Portfolio,11147338.08,357277003.58
AB Massachusetts Portfolio,1168026.67,201346231.43
AB Minnesota Portfolio,196171.92,39072835.99
AB Municipal Bond Inflation Strategy,18971053.73,2081290393.71
AB Municipal Income Shares,1269932523.03,10152450510.82
AB National Portfolio,42344057.19,1718120345.81
AB New Jersey Portfolio,257576.35,58018755.73
AB New York Portfolio,2496662.58,530112208.12
AB Ohio Portfolio,337149.12,55418303.63
AB Pennsylvania Portfolio,748657.16,52354541.21
"AB RELATIVE VALUE FUND, INC.",1895308.44,1973602160.84
AB SUSTAINABLE INTERNATIONAL THEMATIC FUND INC,19765156.7,740030476.79
AB Select US Equity Portfolio,6061013.45,215471037.36
AB Small Cap Growth Portfolio,31387910.68,4178912750.7599998
AB Small Cap Value Portfolio,5539700.7,690669839.5
AB Small/Mid Cap Value Portfolio,1030707.12,660688916.55
AB Sustainable Global Thematic Portfolio,1064879.23,154208690.42
AB Sustainable International Thematic Portfolio,480675.92,39404038.33
AB Sustainable Thematic Balanced Portfolio,432464.08,111620363.59
AB Sustainable US Thematic Portfolio,405349.41,102040758.52
AB Tax-Aware Fixed Income Opportunities Portfolio,15436001.76,417033737.96
AB Tax-Aware Real Return Income Shares,46004378.63,54188822.8
AB Tax-Managed All Market Income Portfolio,744642.36,68494567.53
AB Tax-Managed Wealth Appreciation Strategy,1937108.85,707578559.79
AB Taxable Multi-Sector Income Shares,4810648.96,362995257.36
AB Total Return Bond Portfolio,18962618.67,216053643.31
AB Ultra Short Income ETF,30666.53,150035358.22
AB Value Fund,1431783.7,402699313.26
AB Virginia Portfolio,5946054.75,204614603.75
AB Wealth Appreciation Strategy,3429340.35,1109382665.3
ABR 50/50 VOLATILITY FUND,293063.62,107903394.62
ABR 75/25 VOLATILITY FUND,1263613.01,536068801.83
ABR DYNAMIC BLEND EQUITY & VOLATILITY FUND,434389.32,283582431.85
"ABRDN ASIA-PACIFIC INCOME FUND, INC.",327777554.05,1144944328.09
"ABRDN AUSTRALIA EQUITY FUND, INC.",10817971.11,149692589.71
"ABRDN GLOBAL INCOME FUND, INC.",17703964.89,69575120.74
ABS Long/Short Strategies Fund,652930.1155445,217031064.6556
ABSOLUTE CAPITAL OPPORTUNITIES FUND,14748207.709999999,261483932.09
ABSOLUTE CONVERTIBLE ARBITRAGE FUND,298851324.79,1177226790.98
ABSOLUTE FLEXIBLE FUND,5277675.48,46149948.44
ABSOLUTE SELECT VALUE ETF,771139.4,87752619.06
ABSOLUTE STRATEGIES FUND,203215.49,36657658.95
ACAP Strategic Fund,3661776357.52,9985275874.21
ACM Dynamic Opportunity Fund,16830880.11,95524624.61
ACM Tactical Income Fund,135781.84,44135486.99
ACR International Quality Return (IQR) Fund,136861.62,55408387.14
ACR Multi-Strategy Quality Return (MQR) Fund,509883.15,45412767.03
ACTIVE INTERNATIONAL ALLOCATION PORTFOLIO,3226974.6,163637304.73
ACUITAS US MICROCAP FUND,739772.51,141955001.37
ADLER VALUE FUND,19799.0,4174693.94
AEW Global Focused Real Estate Fund,335308.0,92592005.48
AFA Multi-Manager Credit Fund,966325.72,49853265.98
AFRICA FUND,12969.45,3364484.17
AGF Global Sustainable Equity Fund,85305.2,2565128.91
AGFiQ Global Infrastructure ETF,89241.65,3858386.24
AI Powered Equity ETF,28713045.34,122115398.25
AI Quality Growth ETF,42575.4,31924325.95
AIP Alternative Lending Fund A,899702307.27,3126602141.69
AIP Alternative Lending Fund P,3642174.76,839093044.33
AIP Multi-Strategy Fund A,87786.68,780997.89
ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,233288197.42,596485504.69
ALLSPRING GLOBAL DIVIDEND OPPORTUNITY FUND,52580765.44,263253798.5
ALLSPRING UTILITIES & HIGH INCOME FUND,63865221.7,292037908.98
ALPHAMARK FUND,18051.51,19710419.07
ALPS Clean Energy ETF,312208.28,708223298.32
ALPS Disruptive Technologies ETF,48695.54,122262279.5
ALPS Emerging Sector Dividend Dogs ETF,13216.77,28195202.57
ALPS Equal Sector Weight ETF,41674.58,342140508.34
ALPS Global Travel Beneficiaries ETF,4077.84,7926482.65
ALPS Hillman Active Value ETF,3045.14,6794137.37
ALPS Intermediate Municipal Bond ETF,532237.58,31451590.48
ALPS International Sector Dividend Dogs ETF,66310.76,170017397.53
ALPS Medical Breakthroughs ETF,42478.73,112703941.12
ALPS REIT Dividend Dogs ETF,5892.64,20759534.17
ALPS Sector Dividend Dogs ETF,409880.92,1302978279.13
ALPS | Alerian Energy Infrastructure Portfolio,166375.27,118600237.48
ALPS | Kotak India ESG Fund,720465.97,353067001.25
ALPS | OShares Europe Quality Dividend ETF,75112.54,35739200.34
ALPS | OShares Global Internet Giants ETF,59843.66,152572950.92
ALPS | OShares U.S. Quality Dividend ETF,1641264.85,749762767.07
ALPS | OShares U.S. Small-Cap Quality Dividend ETF,2134531.28,184078444.88
ALPS | Red Rocks Global Opportunity Portfolio,166953.96,22982680.97
ALPS | Smith Credit Opportunities Fund,11908492.6,289562712.12
ALPS | Smith Short Duration Bond Fund,17068791.51,810890562.55
ALPS | Smith Total Return Bond Fund,47125497.82,1895486796.16
ALTA QUALITY GROWTH FUND,58044.42,41277388.46
AMCAP Fund,324200808.76,69198176768.13
AMERICAN GROWTH FUND Series One,33596.79,17152467.6
AMG Beutel Goodman Core Plus Bond Fund,127006.37,133820631.65
AMG Beutel Goodman International Equity Fund,44293.31,14386194.26
AMG Boston Common Global Impact Fund,10357070.67,588106651.66
AMG Frontier Small Cap Growth Fund,1121790.52,31592679.02
AMG GW&K Core Bond ESG Fund,1211011.31,152062871.55
AMG GW&K Emerging Markets Equity Fund,88081.61,21818443.82
AMG GW&K Emerging Wealth Equity Fund,141450.12,90141047.92
AMG GW&K Enhanced Core Bond ESG Fund,1330634.29,41825005.64
AMG GW&K Global Allocation Fund,1512138.16,42586084.14
AMG GW&K High Income Fund,2205274.34,19472652.45
AMG GW&K International Small Cap Fund,1487603.83,33121306.66
AMG GW&K Municipal Bond Fund,8745339.24,1097487112.09
AMG GW&K Municipal Enhanced Yield Fund,226193.39,257265832.99
AMG GW&K Small Cap Value Fund,8744718.7,259993592.97
AMG GW&K Small/Mid Cap Fund,10047073.72,574187740.28
AMG GW&K Small/Mid Cap Growth Fund,299581.18,34870124.79
AMG Montrusco Bolton Large Cap Growth Fund,204257.41,208951294.99
"AMG Pantheon Master Fund, LLC",9686292.35,1546578909.59
AMG River Road Dividend All Cap Value Fund,4535981.1,342978980.77
AMG River Road Focused Absolute Value Fund,79748.38,63333047.89
AMG River Road Mid Cap Value Fund,5328847.82,342284926.1
AMG River Road Small Cap Value Fund,891257.75,910460993.95
AMG River Road Small-Mid Cap Value Fund,451104.61,265735382.76
AMG TimesSquare Global Small Cap Fund,54243.42,1757191.04
AMG TimesSquare International Small Cap Fund,4188162.32,442880097.34
AMG TimesSquare Mid Cap Growth Fund,22966290.9,1160593116.03
AMG Veritas Asia Pacific Fund,1625024.53,114774942.46
AMG Veritas China Fund,143957.49,77816756.18
AMG Veritas Global Focus Fund,52846.16,31132083.73
AMG Veritas Global Real Return Fund,5897462.27,111716231.33
AMG Yacktman Focused Fund,13647152.19,3553071729.91
AMG Yacktman Global Fund,194237.13,151044659.88
AMT Diversified Equity Fund,0.0,142262.25
AOG Institutional Diversified Fund,100905.88,53369445.96
AOT Growth and Innovation ETF,11798.89,20081732.39
APPLESEED FUND,103215.41,79568443.48
AQR Alternative Risk Premia Fund,239326612.92,400869680.75
AQR Diversified Arbitrage Fund,115793850.61,1655829813.52
AQR Diversifying Strategies Fund,41820.86,185313374.49
AQR Emerging Multi-Style II Fund,1164555.06,482038103.95
AQR Equity Market Neutral Fund,10238856.28,190649895.12
AQR Global Equity Fund,3655577.52,292493447.65
AQR International Defensive Style Fund,138821.07,271132610.4
AQR International Momentum Style Fund,219797.46,353004230.1
AQR International Multi-Style Fund,226508.83,427256958.46
AQR Large Cap Momentum Style Fund,297320.16,711242423.66
AQR Long-Short Equity Fund,13628939.42,581395441.59
AQR Macro Opportunities Fund,6712357.17,184615497.83
AQR Managed Futures Strategy HV Fund,8094490.35,187580019.33
AQR Multi-Asset Fund,20093083.19,163092921.4
AQR Small Cap Momentum Style Fund,127433.19,211477588.31
AQR Small Cap Multi-Style Fund,81980.05,115532693.32
AQR Sustainable Long-Short Equity Carbon Aware Fund,711349.67,25393810.63
ARGA Emerging Markets Value Fund,506483.61,433505029.2
