SERIES_NAME,INTRST_RATE_CHANGE_30YR_DV01
MML Inflation-Protected and Income Fund,27396.21
VOYA EMERGING MARKETS HARD CURRENCY DEBT FUND,39189.0
Nuveen Connecticut Municipal Bond Fund,36469.96
PIMCO All Asset Fund,827502.358256
Fidelity Series International Developed Markets Bond Index Fund,125030.40336
EQ/Core Plus Bond Portfolio,31788.3
AST Academic Strategies Asset Allocation Portfolio,241106.87147
ON BlackRock Balanced Allocation Portfolio,28580.05752184249
Dodge & Cox Global Bond Fund,23848.99
PIMCO Total Return Fund IV,29642.023558
Allspring Income Opportunities Fund,10390.96244870506
Fidelity Series International Developed Markets Bond Index Fund,64803.5437112
PIMCO International Bond Fund (Unhedged),10429.933161
Stone Ridge Alternative Lending Risk Premium Fund,13892.6
Fidelity GNMA Fund,89401.03230169
Fidelity SAI Tax-Free Bond Fund,373678.56743736
BrandywineGLOBAL - Global Unconstrained Bond Fund,19595.78749948
FlexShares ESG & Climate Investment Grade Corporate Core Index Fund,10775.0
T. Rowe Price Dynamic Global Bond Fund,249218.119602
PIMCO International Bond Fund (Unhedged),14055.084062
Payden Absolute Return Bond Fund,54527.31374
PIMCO International Bond Fund (U.S. Dollar-Hedged),282179.232539
Series E (Total Return Bond Series),35387.4778052
Delaware Ivy Securian Core Bond Fund,142918.54496
Nationwide Inflation-Protected Securities Fund,68083.106892
Managed Fixed Income Portfolio,90779.16877235302
JPMorgan USD Emerging Markets Sovereign Bond ETF,18619.7673
Nuveen Municipal High Income Opportunity Fund,691329.95
Principal Investment Grade Corporate Active ETF,179240.16
Rational Special Situations Income Fund,21921.702213
Sit Tax-Free Income Fund,115967.12227
JPMorgan Intermediate Tax Free Bond Fund,106154.2205
JPMorgan Core Bond Trust,439620.12025
BlackRock Strategic Income Opportunities Portfolio,10093.64
iShares Aaa - A Rated Corporate Bond ETF,370362.76
AST J.P. Morgan Global Thematic Portfolio,203853.51089
BlackRock Total Return V.I. Fund,186436.11
JPMorgan Strategic Income Opportunities Fund,53661.62189
PIMCO International Bond Fund (U.S. Dollar-Hedged),125948.545873
VANGUARD INTERMEDIATE-TERM TREASURY FUND,18917.30468954
abrdn Global Absolute Return Strategies Fund,16608.17
AST Bond Portfolio 2032,11674.22538
Northern U.S. Treasury Index Fund,21962.32527408214
VP Balanced Fund,27816.0
First Trust Institutional Preferred Securities and Income ETF,17404.180985310442
Stone Harbor Local Markets Fund,21698.784386
VOYA SECURITIZED CREDIT FUND,58868.0
Nuveen Virginia Municipal Bond Fund,71772.38
Delaware Minnesota High-Yield Municipal Bond Fund,23121.34044
Delaware Corporate Bond Fund,279342.10146
PIMCO RAE PLUS Fund,18808.823793
High-Yield Municipal Fund,157002.0
Western Asset Intermediate-Term Municipals Fund,32425.48
Angel Oak Multi-Strategy Income Fund,811828.42
BlackRock High Yield Bond Portfolio,278277.93
"BlackRock Municipal Income Fund, Inc.",456842.31
Western Asset SMASh Series C Fund,173767.57
Stone Harbor Local Markets Fund,50990.566968
iShares Municipal Bond Index Fund,49367.29
Aspiriant Risk-Managed Municipal Bond Fund,13927.511095
BlackRock GNMA Portfolio,58804.15
Nuveen Louisiana Municipal Bond Fund,31226.2
Global Opportunities Portfolio,13292.15
High Yield Fund,18393.8749
Aquila Tax-Free Trust of Arizona,11150.09502
EQ/Core Plus Bond Portfolio,31815.57
BBH Income Fund,75653.0
Optimum Fixed Income Fund,409072.58992
BlackRock Core Bond Trust,411199.85
Bridge Builder Municipal Bond Fund,272815.17246
Great-West Bond Index Fund,391297.2048724828
MassMutual Core Bond Fund,264123.74
Transamerica JPMorgan Asset Allocation - Conservative VP,36213.43
Fidelity Arizona Municipal Income Fund,10735.61876
Opportunistic Municipal Fund,61408.7102
The Hartford World Bond Fund,91028.27
PIMCO Global Advantage Strategy Bond Fund,13632.507928
Fidelity Total Emerging Markets Fund,25566.4790559
Stone Harbor Emerging Markets Income Fund,44110.569022
Nuveen Enhanced Municipal Value Fund,129181.29
Great-West Core Strategies: Flexible Bond Fund,194412.31125291367
MML Dynamic Bond Fund,63551.97
Fidelity Series Investment Grade Securitized Fund,32352.96724035
PGIM Global Total Return Fund,186395.30043
Delaware VIP Investment Grade Series,11992.20525
PGIM Balanced Fund,88202.6081
PIMCO International Bond Fund (U.S. Dollar-Hedged),39036.505426
Investment Grade Corporate Bond Portfolio,79328.10158541412
Nuveen Maryland Municipal Bond Fund,30073.79
Stone Harbor Emerging Markets Total Income Fund,12149.324178
1290 Diversified Bond Fund,112442.62
iShares Agency Bond ETF,20392.65
BlackRock Multi-Sector Opportunities Trust,14270.21
Vertical Capital Income Fund,23809.255779
Fidelity Series International Developed Markets Bond Index Fund,180028.2165488
iShares International Treasury Bond ETF,13266.13
Diversified Real Asset Fund,94012.6037
PIMCO 15+ Year U.S. TIPS Index Exchange-Traded Fund,887905.267574
Carillon Reams Core Bond Fund,113136.43
iShares Government/Credit Bond ETF,127064.09
Schwab Tax-Free Bond Fund,22927.79
Six Circles Global Bond Fund,53482.974858
T. Rowe Price Dynamic Global Bond Fund,62512.777369
Baird Core Intermediate Municipal Bond Fund,89938.87
"BlackRock Income Trust, Inc.",24685.12
Stone Harbor Emerging Markets Total Income Fund,652689.070118
AST Multi-Sector Fixed Income Portfolio,7194574.74902
Western Asset Macro Opportunities Fund,13132.27
PIMCO Long-Term U.S. Government Portfolio,359988.452774
PIA MBS Bond Fund,23161.32
JPMorgan U.S. Aggregate Bond ETF,216915.50203
AST Balanced Asset Allocation Portfolio,568407.56854
,25979.107173
RiverNorth Managed Duration Muni Income Fund Inc.,15327.299623
Goldman Sachs Municipal Income Completion Fund,19585.02
BlackRock U.S. Government Bond V.I. Fund,11702.46
"BlackRock MuniVest Fund II, Inc.",234936.39
DoubleLine Core Fixed Income Fund,1817126.0
Goldman Sachs Strategic Income Fund,34498.92
Blackstone Alternative Multi-Strategy Fund,70028.79
Fidelity Total Bond ETF,548417.56
Wilshire Income Opportunities Fund,32313.42
AAM Insight Select Income Fund,62848.44375304325
PIMCO Diversified Income Fund,235194.69116
iShares J.P. Morgan EM Corporate Bond ETF,24081.24
EQ/PIMCO Global Real Return Portfolio,15168.97
PIMCO Extended Duration Fund,1379514.619698
PIMCO Emerging Markets Local Currency and Bond Fund,11312.619093
Delaware Tax-Free New York Fund,28722.9139
Six Circles Global Bond Fund,161219.223432
PIMCO Long-Term U.S. Government Fund,501465.453818
Calamos Convertible and High Income Fund,15597.331001777771
PIMCO Total Return ESG Fund,199731.309104
Fidelity U.S. Bond Index Fund,12423946.4029758
Nuveen Michigan Municipal Bond Fund,39006.96
BlackRock High Yield Muni Income Bond ETF,14540.53
Pro-Blend Extended Term Series,38833.34733
AST Global Bond Portfolio,40764.87554
Fidelity Series Bond Index Fund,4316304.35801167
Short-Term Income Fund,18507.1996
SIMT Multi-Asset Inflation Managed Fund,377529.10500936
Global Atlantic Goldman Sachs Core Fixed Income Portfolio,14328.14174
Fidelity Series Emerging Markets Debt Local Currency Fund,2678570.79
First Trust Long Duration Opportunities ETF,20387.35477
BlackRock Multi-Sector Income Trust,12861.61
Nuveen California Select Tax-Free Income Portfolio,15371.84
"BlackRock MuniHoldings New Jersey Quality Fund, Inc.",293318.58
AST AllianzGI World Trends Portfolio,265152.41638
Old Westbury Municipal Bond Fund,25214.10267
Multi-Asset Growth Strategy Fund,83751.77
Delaware Tax-Free Minnesota Fund,50321.07175
BlackRock High Yield V.I. Fund,10954.04
NT Diversified Bond Fund,846965.0
California High-Yield Municipal Fund,329431.0
"Nuveen Municipal Income Fund, Inc.",28240.09
IQ MacKay ESG Core Plus Bond ETF,20196.80074
PPM Core Plus Fixed Income Fund,13569.94505
VOYA BALANCED PORTFOLIO,19367.0
Baird Aggregate Bond Fund,9380061.32
AMG GW&K Municipal Enhanced Yield Fund,107201.09146
PIMCO Real Return Portfolio,19731.440627
Fidelity Series Government Bond Index Fund,158434.8352018
JPMorgan Global Bond Opportunities Fund,137049.9161
BlackRock New York Municipal Income Trust,251296.32
Guggenheim Core Bond Fund,311660.15455437
