ISSUER_LEI,ISSUER_NAME,ShareChange
254900HROIFWPRGM1V77,United States of America,-238092124287.24
B1V7KEBTPIMZEU4LTD58,Fannie Mae,167230410361.8834
254900HROIFWPRGM1V77,US TREASURY N/B,95354138925.87
529900FWX0GRR7WG5W79,INDONESIA GOVT,-56330060000.0
B1V7KEBTPIMZEU4LTD58,Federal National Mortgage Association,-48837613032.0409
254900HROIFWPRGM1V77,UNITED STATES TREASURY,40776271629.850006
254900HROIFWPRGM1V77,United States Treasury,-35408438997.68
B1V7KEBTPIMZEU4LTD58,UNIFORM MBS,32161943738.7147
549300M8ZYFG0OCMTT87,Government National Mortgage Association,-28619502419.611202
529900FWX0GRR7WG5W79,REPUBLIC OF INDONESIA,-28152450000.0
