,SERIES_NAME,TotalAssets,TotalLiabilities
0,,420643397881.23004,16302369603.817621
1,1290 Essex Small Cap Growth Fund,27793668.05,1289559.63
2,1290 High Yield Bond Fund,59871810.13,2781154.75
3,1290 Multi-Alternative Strategies Fund,13746769.99,899954.76
4,1290 Retirement 2020 Fund,8615622.81,431682.41
5,1290 Retirement 2025 Fund,17845051.19,88777.58
6,1290 Retirement 2030 Fund,9611857.22,33892.48
7,1290 Retirement 2040 Fund,6906057.24,553749.86
8,1290 Retirement 2045 Fund,7879705.13,58589.7
9,1290 Retirement 2050 Fund,7643553.86,211924.37
10,1290 Retirement 2060 Fund,5474113.53,30192.97
11,1290 SmartBeta Equity Fund,170901485.52,1138538.89
12,1290 VT Convertible Securities Portfolio,40573114.65,2327872.85
13,1290 VT DoubleLine Opportunistic Bond Portfolio,522554014.3,4738986.44
14,1290 VT Equity Income Portfolio,523238139.83,487948.37
15,1290 VT GAMCO Mergers & Acquisitions Portfolio,178874614.74,7048454.51
16,1290 VT GAMCO Small Company Value Portfolio,3174701096.23,32812833.71
17,1290 VT Micro Cap Portfolio,166840045.73,14776471.7
18,1290 VT Moderate Growth Allocation Portfolio,152776857.59,33881183.35
19,1290 VT Multi-Alternative Strategies Portfolio,7451719.88,225715.79
20,1290 VT Natural Resources Portfolio,41919257.49,89208.69
21,1290 VT Real Estate Portfolio,34678623.48,922388.73
22,1290 VT Socially Responsible Portfolio,204394774.65,352395.44
23,13D Activist Fund,186766985.72,270970.42
24,1789 GROWTH AND INCOME FUND,32493795.7,93872.43
25,180 DEGREE CAPITAL CORP. /NY/,66952608,1407459
26,1919 Financial Services Fund,171408509.06,376169.66
27,1919 Maryland Tax-Free Income Fund,66782391.86,285335.81
28,1919 Socially Responsive Balanced Fund,680660235.02,1442659.6
29,1919 Variable Socially Responsive Balanced Fund,33179623.04,106982.19
30,2ndVote Life Neutral Plus ETF,17036841.69,370140.74
31,2ndVote Society Defended ETF,25720600.83,346861.33
32,5-to-15 Year Laddered Municipal Bond Portfolio,650377825.59,20045102.22
33,500 Index Fund,8914538219.23,13038342.46
34,500 Index Trust,6746597076.18,7556344.95
35,A&Q Long/Short Strategies Fund LLC,111423255.6,8634439.35
36,A&Q Multi-Strategy Fund,439739894.67,42537931.69
37,AAAMCO Ultrashort Financing Fund,64657314.66,1099971.17
38,AAM HIMCO Short Duration Income Fund,534480423.8,1182407.48
39,AAM Insight Select Income Fund,105775035.56,200668.07
40,AAM/Phocas Real Estate Fund,28737686.76,68321.83
41,AAMA EQUITY FUND,382636050.99,461075.21
42,AAMA INCOME FUND,146069641.02,147061.23
43,AB All China Equity Portfolio,123195878.64,579957.83
44,AB All Market Income Portfolio,50645455.07,2563583.56
45,AB All Market Real Return Portfolio,1090459463.78,16755129.94
46,AB All Market Total Return Portfolio,512821389.07,17487135.86
47,AB Arizona Portfolio,99572408.04,549717.32
48,AB Balanced Hedged Allocation Portfolio,179758040.11,2354654.39
49,AB Bond Inflation Strategy,1042213412.16,66866357.68
50,"AB CORE OPPORTUNITIES FUND, INC.",176882807.19,1622542.03
51,AB California Portfolio,960953772.79,29743988.54
52,"AB DISCOVERY GROWTH FUND, INC.",2821021465.74,24000890.18
53,AB Discovery Value Fund,2920149571.1,63294784.03
54,AB EQUITY INCOME FUND INC,496270157.52,3502661.09
55,AB Emerging Markets Multi-Asset Portfolio,127807206.7,6492737.92
56,"AB GLOBAL REAL ESTATE INVESTMENT FUND, INC.",74255519.68,1318690.87
57,AB Global Core Equity Portfolio,2294430165.23,53846513.75
58,AB Global Dynamic Allocation Portfolio,2968673766.1,195965757.85
59,AB Global Real Estate Investment Fund II,195970563.77,437248.23
60,AB Global Risk Allocation-Moderate Portfolio,805883450.62,6352504.52
61,AB Growth Fund,1111615129.95,1852505.25
62,AB Growth and Income Portfolio,838269440.52,2859007.54
63,AB HIGH INCOME FUND INC,3381334773.23,238512858.2
64,AB High Income Municipal Portfolio,3398082971.01,464749901.39
65,AB High Yield Portfolio,71595683.71,1789523.64
66,AB Impact Municipal Income Shares,537886484.72,1628138.47
67,AB Income Fund,3868376797.11,1184205305.2
68,AB International Strategic Core Portfolio,637461510.04,9747354.29
69,AB International Value Fund,110553225.32,3319549.99
70,AB International Value Portfolio,265675618.8,1991051.76
71,AB LARGE CAP GROWTH FUND INC,17427478268.12,42288825.17
72,AB Large Cap Growth Portfolio,592353165.9,1300815.21
73,AB Limited Duration High Income Portfolio,357277003.58,11147338.08
74,AB Massachusetts Portfolio,201346231.43,1168026.67
75,AB Minnesota Portfolio,39072835.99,196171.92
76,AB Municipal Bond Inflation Strategy,2081290393.71,18971053.73
77,AB Municipal Income Shares,10152450510.82,1269932523.03
78,AB National Portfolio,1718120345.81,42344057.19
79,AB New Jersey Portfolio,58018755.73,257576.35
80,AB New York Portfolio,530112208.12,2496662.58
81,AB Ohio Portfolio,55418303.63,337149.12
82,AB Pennsylvania Portfolio,52354541.21,748657.16
83,"AB RELATIVE VALUE FUND, INC.",1973602160.84,1895308.44
84,AB SUSTAINABLE INTERNATIONAL THEMATIC FUND INC,740030476.79,19765156.7
85,AB Select US Equity Portfolio,215471037.36,6061013.45
86,AB Small Cap Growth Portfolio,4178912750.7599998,31387910.68
87,AB Small Cap Value Portfolio,690669839.5,5539700.7
88,AB Small/Mid Cap Value Portfolio,660688916.55,1030707.12
89,AB Sustainable Global Thematic Portfolio,154208690.42,1064879.23
90,AB Sustainable International Thematic Portfolio,39404038.33,480675.92
91,AB Sustainable Thematic Balanced Portfolio,111620363.59,432464.08
92,AB Sustainable US Thematic Portfolio,102040758.52,405349.41
93,AB Tax-Aware Fixed Income Opportunities Portfolio,417033737.96,15436001.76
94,AB Tax-Aware Real Return Income Shares,54188822.8,46004378.63
95,AB Tax-Managed All Market Income Portfolio,68494567.53,744642.36
96,AB Tax-Managed Wealth Appreciation Strategy,707578559.79,1937108.85
97,AB Taxable Multi-Sector Income Shares,362995257.36,4810648.96
98,AB Total Return Bond Portfolio,216053643.31,18962618.67
99,AB Ultra Short Income ETF,150035358.22,30666.53
100,AB Value Fund,402699313.26,1431783.7
101,AB Virginia Portfolio,204614603.75,5946054.75
102,AB Wealth Appreciation Strategy,1109382665.3,3429340.35
103,ABR 50/50 VOLATILITY FUND,107903394.62,293063.62
104,ABR 75/25 VOLATILITY FUND,536068801.83,1263613.01
105,ABR DYNAMIC BLEND EQUITY & VOLATILITY FUND,283582431.85,434389.32
106,"ABRDN ASIA-PACIFIC INCOME FUND, INC.",1144944328.09,327777554.05
107,"ABRDN AUSTRALIA EQUITY FUND, INC.",149692589.71,10817971.11
108,"ABRDN GLOBAL INCOME FUND, INC.",69575120.74,17703964.89
109,ABS Long/Short Strategies Fund,217031064.6556,652930.1155445
110,ABSOLUTE CAPITAL OPPORTUNITIES FUND,261483932.09,14748207.709999999
111,ABSOLUTE CONVERTIBLE ARBITRAGE FUND,1177226790.98,298851324.79
112,ABSOLUTE FLEXIBLE FUND,46149948.44,5277675.48
113,ABSOLUTE SELECT VALUE ETF,87752619.06,771139.4
114,ABSOLUTE STRATEGIES FUND,36657658.95,203215.49
115,ACAP Strategic Fund,9985275874.21,3661776357.52
116,ACM Dynamic Opportunity Fund,95524624.61,16830880.11
117,ACM Tactical Income Fund,44135486.99,135781.84
118,ACR International Quality Return (IQR) Fund,55408387.14,136861.62
119,ACR Multi-Strategy Quality Return (MQR) Fund,45412767.03,509883.15
120,ACTIVE INTERNATIONAL ALLOCATION PORTFOLIO,163637304.73,3226974.6
121,ACUITAS US MICROCAP FUND,141955001.37,739772.51
122,ADLER VALUE FUND,4174693.94,19799
123,AEW Global Focused Real Estate Fund,92592005.48,335308
124,AFA Multi-Manager Credit Fund,49853265.98,966325.72
125,AFRICA FUND,3364484.17,12969.45
126,AGF Global Sustainable Equity Fund,2565128.91,85305.2
127,AGFiQ Global Infrastructure ETF,3858386.24,89241.65
128,AI Powered Equity ETF,122115398.25,28713045.34
129,AI Quality Growth ETF,31924325.95,42575.4
130,AIP Alternative Lending Fund A,3126602141.69,899702307.27
131,AIP Alternative Lending Fund P,839093044.33,3642174.76
132,AIP Multi-Strategy Fund A,780997.89,87786.68
133,ALLIANCEBERNSTEIN NATIONAL MUNICIPAL INCOME FUND,596485504.69,233288197.42
134,ALLSPRING GLOBAL DIVIDEND OPPORTUNITY FUND,263253798.5,52580765.44
135,ALLSPRING UTILITIES & HIGH INCOME FUND,292037908.98,63865221.7
136,ALPHAMARK FUND,19710419.07,18051.51
137,ALPS Clean Energy ETF,708223298.32,312208.28
138,ALPS Disruptive Technologies ETF,122262279.5,48695.54
139,ALPS Emerging Sector Dividend Dogs ETF,28195202.57,13216.77
140,ALPS Equal Sector Weight ETF,342140508.34,41674.58
141,ALPS Global Travel Beneficiaries ETF,7926482.65,4077.84
142,ALPS Hillman Active Value ETF,6794137.37,3045.14
143,ALPS Intermediate Municipal Bond ETF,31451590.48,532237.58
144,ALPS International Sector Dividend Dogs ETF,170017397.53,66310.76
145,ALPS Medical Breakthroughs ETF,112703941.12,42478.73
146,ALPS REIT Dividend Dogs ETF,20759534.17,5892.64
147,ALPS Sector Dividend Dogs ETF,1302978279.13,409880.92
148,ALPS | Alerian Energy Infrastructure Portfolio,118600237.48,166375.27
149,ALPS | Kotak India ESG Fund,353067001.25,720465.97
150,ALPS | OShares Europe Quality Dividend ETF,35739200.34,75112.54
