,SERIES_NAME,TOTAL_LIABILITIES
0,BlackRock Event Driven Equity Fund,4680309964.16
1,THRIVENT INTERNATIONAL ALLOCATION FUND,14196505.79
2,New Covenant Income Fund,24664286.62
3,VictoryShares USAA Core Short-Term Bond ETF,15713484.64
4,PIMCO RAE PLUS International Fund,29398691.15
5,BlackRock Multi-Asset Income Portfolio,507256527.03
6,iShares Global Infrastructure ETF,17303023.88
7,Select Financial Services Portfolio,12403304.46
8,Multi-Strategy Income Fund,65639367.55
9,Victory RS Small Cap Growth Fund,12888156.33
10,Transamerica Energy Infrastructure,11616567.67
11,iShares Genomics Immunology and Healthcare ETF,60221684.96
12,Horizon Active Risk Assist Fund,117307014.22
13,Global Real Estate Securities Fund,13594024.7
14,VANGUARD ULTRA-SHORT-TERM TAX-EXEMPT FUND,281018070.24
15,PIMCO Emerging Markets Bond Portfolio,23135910.11
16,CION Ares Diversified Credit Fund,1295641215.35
17,iShares S&P Mid-Cap 400 Value ETF,645372860.98
18,"Advantage Advisers Xanthus Fund, L.L.C.",1294703562
19,MFS Research Fund,67714336.12
20,Fidelity Advisor Small Cap Fund,106712192.42
21,ProShares UltraPro Short Dow30,199037151.74
22,RiverNorth Capital and Income Fund,44605598.24
23,DFA World ex U.S. Government Fixed Income Portfolio,19907645.67
24,iShares Morningstar Mid-Cap ETF,29748098.91
25,Fidelity Advisor Mid Cap II Fund,32996396.91
26,Goldman Sachs Real Estate Diversified Income Fund,11793601.66
27,BlackRock Floating Rate Income Portfolio,274190000.74
28,iMGP Alternative Strategies Fund,810214999.58
29,iShares CMBS ETF,23402738.86
30,AB Tax-Aware Fixed Income Opportunities Portfolio,29455690.8
31,Strategic Bond Fund,27527642.48
32,iShares Core S&P U.S. Value ETF,124113695.56
33,Sprott Uranium Miners ETF,28531771.28
34,SIMT Multi-Asset Inflation Managed Fund,237922566.41
35,JNL/Mellon Nasdaq 100 Index Fund,21330564.01
36,"BlackRock MuniYield Quality Fund, Inc.",526462519.02
37,iShares Biotechnology ETF,839430224.77
38,abrdn Emerging Markets Fund,12328823.16
39,Fidelity SAI U.S. Quality Index Fund,31867730.46
40,HARTFORD SMALL CAP GROWTH HLS FUND,24069184.12
41,,1440214336.97
42,Nuveen Growth Opportunities ETF,10351441
43,VANGUARD ULTRA-SHORT BOND ETF,69736417.27
44,EQ/PIMCO Global Real Return Portfolio,48828420.65
45,Global Equity Fund,42118990.28
46,International Dynamic Growth Fund,10799926.01
47,Baird Intermediate Bond Fund,119226581.65
48,SA T. Rowe Price VCP Balanced Portfolio,13475069.79
49,VANGUARD HEALTH CARE FUND,45354173.86
50,Putnam Strategic Intermediate Municipal Fund,27108851.39
51,iShares MSCI China ETF,389989656.13
52,PIMCO Global Core Bond (Hedged) Portfolio,58475454.56
53,Touchstone Strategic Trust-Touchstone Non-US ESG Equity Fund,30004608.67
54,BlackRock High Yield Bond Portfolio,305549894.67
55,PIMCO Enhanced Low Duration Active Exchange-Traded Fund,138166672.5
56,WisdomTree Europe Hedged Equity Fund,143150145.96
57,LOW-DURATION BOND FUND,26943080.18
58,PIMCO RAE Worldwide Long/Short PLUS Fund,77497815.56
59,JNL/Western Asset Global Multi-Sector Bond Fund,13624147
60,Mid Cap Index Fund,25892992.97
61,Victory Income Stock Fund,20757409.76
62,JNL/Goldman Sachs 4 Fund,13495573.5
63,Putnam Dynamic Asset Allocation Growth Fund,464398960.43
64,IQ FTSE International Equity Currency Neutral ETF,13547667.87
65,ProShares Ultra Consumer Services,23126898.83
66,VOYA EMERGING MARKETS INDEX PORTFOLIO,13304148.78
67,iShares Global Healthcare ETF,82517666.61
68,VIP Equity-Income Portfolio,25997103.41
69,MFS New Discovery Value Fund,11409686.79
70,iShares High Yield Bond Factor ETF,47138976.19
71,Invesco Advantage Municipal Income Trust II,295162519.45
72,Nuveen Floating Rate Income Fund,375476446
73,MassMutual Small Cap Growth Equity Fund,17268059.46
74,AB International Bond Portfolio,35613645.1
75,Putnam Premier Income Trust,512973523.1
76,T. Rowe Price Spectrum Income Fund,25256513.83
77,BlueBay Destra International Event-Driven Credit Fund,13458178.23
78,Delaware Ivy Core Equity Fund,22277804.87
79,iShares U.S. Intermediate Credit Bond Index Fund,301572516.28
80,iShares iBonds Dec 2027 Term Corporate ETF,202397039.44
81,AB Short Duration Income Portfolio,13599234.56
82,T. Rowe Price Retirement 2030 Fund,10909337.57
83,RiverNorth Opportunities Fund Inc.,136307564.64
84,Nuveen California Quality Municipal Income Fund,1235310798
85,Nuveen Virginia Quality Municipal Income Fund,149232846
86,iShares MSCI All Country Asia ex Japan ETF,101137169.2
87,SPDR Portfolio S&P 500 High Dividend ETF,67592867.94
88,"Tortoise Pipeline & Energy Fund, Inc.",20757751.58
89,Nuveen Strategic Income Fund,21624718
90,Eaton Vance Short Duration Strategic Income Fund,17748701.65
91,Oaktree Diversified Income Fund Inc.,20533021.45
92,Fidelity Small Cap Enhanced Index Fund,46479401.33
93,iShares iBonds Dec 2025 Term Corporate ETF,145483538.6
94,Apollo Diversified Credit Fund,276505322.73
95,Mid Cap Value Fund,15678438.29
96,Baird Aggregate Bond Fund,259528315.93
97,AB Total Return Bond Portfolio,18962618.67
98,iShares MSCI South Korea ETF,357705392.62
99,Aperture Endeavour Equity Fund,35573403.13
100,T. Rowe Price QM U.S. Small-Cap Growth Equity Fund,65575409.58
101,iShares iBonds Dec 2028 Term Corporate ETF,92405964.64
102,Calamos Growth Fund,12708973.82
103,"BlackRock MuniHoldings Fund, Inc.",391184201.01
104,Putnam Small Cap Growth Fund,66138559.9
105,iShares Broad USD High Yield Corporate Bond ETF,3728963355.43
106,SPDR(R) Dow Jones International Real Estate ETF,16978039.03
107,FlexShares Morningstar Global Upstream Natural Resources Index Fund,155656000.94
108,T. Rowe Price U.S. Equity Research Fund,30855921.74
109,Eaton Vance Enhanced Equity Income Fund,18071955.63
110,THRIVENT MODERATE ALLOCATION PORTFOLIO,63069857.12
111,DFA INTERNATIONAL SMALL CAP VALUE PORTFOLIO,698923519.59
112,JPMorgan Investor Conservative Growth Fund,12040103.84
113,THRIVENT LIMITED MATURITY BOND FUND,14636688.25
114,Invesco International Equity Fund,18826671.29
115,Ultra-Small Company Market Fund,15878077.02
116,Fidelity Total Bond ETF,475417089.46
117,"BlackRock Strategic Global Bond Fund, Inc.",181748008.53
118,Invesco MSCI Sustainable Future ETF,61501958.89
119,Neuberger Berman International Equity Fund,17165208.02
120,Nuveen Enhanced High Yield Municipal Bond Fund,30892230
121,AB Income Fund,1205867037.93
122,MFS Growth Fund,96771903.12
123,SPDR(R) S & P 600 Small Cap ETF,144914259.09
124,PIMCO Income Fund,83214471159.05
125,Western Asset Intermediate-Term Municipals Fund,51642750.85
126,Select Transportation Portfolio,18883732.09
127,iShares Core S&P Mid-Cap ETF,4071045207.67
128,American Funds Global Insight Fund,26658368.96
129,Invesco BulletShares 2027 Corporate Bond ETF,195882155.91
130,VOYA STRATEGIC INCOME OPPORTUNITIES FUND,89129913.31
131,Victory Extended Market Index Fund,12641784.33
132,Invesco Balanced-Risk Allocation Fund,10556842.44
133,JPMorgan Mid Cap Growth Fund,127874890.36
134,Dunham Monthly Distribution Fund,94412796.36
135,YieldMax TSLA Option Income ETF,13937645.9
136,Virtus Diversified Income & Convertible Fund,109924625.59
137,M International Equity Fund,10507160.51
138,LVIP Blended Mid Cap Managed Volatility Fund,361174478.7
139,BATS: Series A Portfolio,55135304.55
140,PRIMECAP Odyssey Aggressive Growth Fund,26714526.85
141,PIMCO Senior Loan Active Exchange-Traded Fund,11679451.62
142,Virtus Newfleet Multi-Sector Intermediate Bond Fund,11168284.75
143,BlackRock GNMA Portfolio,157885743.48
144,AB Total Return Bond Portfolio,13553132.87
145,Strategic Advisers Fidelity International Fund,39508637.74
146,MML Equity Fund,25536988.77
147,GuidePath Growth and Income Fund,12949622.82
148,SIX CIRCLES MANAGED EQ PORT U.S. UNCONSTRAINED FUND,34445890.91
149,THRIVENT OPPORTUNITY INCOME PLUS FUND,45007470.74
150,1290 VT High Yield Bond Portfolio,23556922.38
151,Invesco BulletShares 2024 High Yield Corporate Bond ETF,117153234.81
152,Fidelity Large Cap Stock Fund,24458241
153,DWS Short Duration Fund,29541195.04
154,BlackRock Taxable Municipal Bond Trust,561858762.66
155,Direxion Monthly High Yield Bull 1.2X Fund,10754344.69
156,AQR Macro Opportunities Fund,11019919.42
157,Nuveen Enhanced High Yield Municipal Bond Fund,46545751
158,THRIVENT AGGRESSIVE ALLOCATION FUND,23549753.4
159,Goldman Sachs Income Fund,22891059.18
160,Calvert VP SRI Balanced Portfolio,25328646.26
161,Invesco International Developed Dynamic Multifactor ETF,16848156.39
162,T. Rowe Price International Equity Index Fund,33148440.96
163,Fidelity International Capital Appreciation Fund,20024760.21
164,Lord Abbett High Income Municipal Bond Fund,41533384.64
165,JNL/WMC Equity Income Fund,16587631.17
166,The Communication Services Select Sector SPDR Fund,100957849.03
167,ProShares UltraShort Semiconductors,14917861.5
168,Schwab Fundamental International Large Company Index Fund,18541008.48
169,JPMorgan Small Cap Growth Fund,250155877.61
170,Fidelity ZERO Extended Market Index Fund,137801732.75
171,Overseas Fund,63076637.8
172,Credit Suisse Multialternative Strategy Fund,63200225.41
173,iShares Emerging Markets Dividend ETF,16099315.5
174,iShares Core MSCI Pacific ETF,35494568.45
175,ProShares Short Russell2000,85432130.79
176,WBI Power Factor High Dividend ETF,18791102.99
177,Global Small Capitalization Fund,24679441.79
178,Core Plus Fund,14775927.73
179,Guggenheim Total Return Bond Fund,2283521468.74
180,Superfund Managed Futures Strategy Fund,34336431.39
181,PIMCO International Bond Fund (U.S. Dollar-Hedged),6442288009.31
182,Select Utilities Portfolio,16429811.85
183,Fidelity SAI International Small Cap Index Fund,21555756.17
184,Fidelity Short-Term Bond Fund,25348434.22
185,John Hancock Preferred Income Fund,259080195.16
186,"BlackRock MuniVest Fund II, Inc.",150122288.93
187,Invesco S&P MidCap 400 Equal Weight ETF,46800687.61
188,ProShares UltraShort 20+ Year Treasury,608121695.21
189,VY(R) INVESCO EQUITY AND INCOME PORTFOLIO,45425210.75
190,VANGUARD SMALL-CAP VALUE INDEX FUND,472565642.33
191,Meridian Growth Fund,28165430.05
192,First Trust Dorsey Wright Focus 5 ETF,10931481.74
193,EuroPacific Growth Fund,2658604297.88
194,Stone Ridge High Yield Reinsurance Risk Premium Fund,12973082.45
195,AST Advanced Strategies Portfolio,850649649.72
196,iShares Morningstar Small-Cap ETF,25363573.49
197,Nuveen Preferred Securities and Income Fund,148659224
198,Bridge Builder Small/Mid Cap Growth Fund,53487288.68
199,Global X MLP ETF,19031608.41
200,Mortgage Core Fund,354574866.13
201,Bridge Builder Core Bond Fund,619903991.93
202,iShares MSCI Emerging Markets ex China ETF,32880102.7
203,DFA ONE-YEAR FIXED INCOME PORTFOLIO,73328479.45
204,Fidelity International Equity Central Fund,117187732.15
205,Bernstein Intermediate Duration Institutional Portfolio,48027352.23
206,Invesco Fundamental Alternatives Fund,18708164.92
207,JPMorgan Research Market Neutral Fund,129177195.11
208,BlackRock Advantage Small Cap Core Fund,122752950.8
209,American Funds Corporate Bond Fund,69866629.27
210,SPDR(R) S&P(R) Aerospace & Defense ETF,61514252.9
211,Federated Hermes MDT Market Neutral Fund,282551202.5
212,Fidelity Global ex U.S. Index Fund,36958549.56
213,VANGUARD PRIMECAP CORE FUND,10354147.79
214,HARTFORD CAPITAL APPRECIATION HLS FUND,20005017.6
215,CM Commodity Index Fund,12143285.77
216,Calamos Global Dynamic Income Fund,166143142.44
217,RiverNorth Managed Duration Muni Income Fund Inc.,24692131.45
218,Direxion Daily Real Estate Bear 3X Shares,26921168.49
219,Neuberger Berman Small Cap Growth Fund,12004624.44
220,PIMCO Strategic Bond Fund,61134937.17
221,Quantitative U.S. Long/Short Equity Portfolio,36568710.54
222,WisdomTree India Earnings Fund,19244733.82
223,MainStay MacKay Tax Free Bond Fund,228276971.78
224,THRIVENT CORE SHORT-TERM RESERVE FUND,53939939.16
225,EQ/Core Bond Index Portfolio,101844623.34
226,PSF PGIM Flexible Managed Portfolio,269410062.72
227,PSF Global Portfolio,74052980.1
228,NVIT Bond Index Fund,90998115.22
229,BlackRock Managed Income Fund,26863009.62
230,Invesco China Technology ETF,40224216.98
231,CPG Vintage Access Fund III LLC,14572952.15
232,PIMCO Short Asset Investment Fund,240105939.75
233,International Fund,30959247.39
234,Fidelity Investment Grade Bond Central Fund,7279457311.66
235,VANGUARD MID-CAP VALUE INDEX FUND,201574724.03
236,SA PIMCO VCP Tactical Balanced Portfolio,255486115.64
237,"ABRDN GLOBAL INCOME FUND, INC.",18351784.49
238,iShares MSCI EAFE Growth ETF,138723009.9
239,SPDR(R) SSGA U.S. Sector Rotation ETF,64301544.32
240,iShares Russell 2000 Growth ETF,1388376147.65
241,Invesco BulletShares 2030 Corporate Bond ETF,21619044.8
242,VA U.S. TARGETED VALUE PORTFOLIO,133513095.97
243,JPMorgan U.S. Equity Fund,54279577.05
244,SIIT OPPORTUNISTIC INCOME FUND,17754874.17
245,LargeCap Growth Fund I,27424189.3
246,CREDIT SUISSE ASSET MANAGEMENT INCOME FUND INC,69882567.89
247,Emerging Markets Sustainability Core 1 Portfolio,18560832.45
248,Fidelity Low-Priced Stock Fund,496239413.87
249,Invesco Dynamic Food & Beverage ETF,29997211.3
250,Federated Hermes Kaufmann Large Cap Fund,11031717.98
